Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
11/03/2021 10:21:46,"526","26,5","61","901"
11/03/2021 10:22:46,"528","26,5","61","902"
11/03/2021 10:23:46,"529","26,5","61","901"
11/03/2021 10:24:46,"518","26,5","61","901"
11/03/2021 10:25:46,"522","26,5","61","902"
11/03/2021 10:26:46,"538","26,5","61","901"
11/03/2021 10:27:46,"532","26,5","61","901"
11/03/2021 10:28:46,"529","26,5","61","901"
11/03/2021 10:29:46,"542","26,5","61","901"
11/03/2021 10:30:46,"528","26,5","61","901"
11/03/2021 10:31:46,"535","26,5","61","901"
11/03/2021 10:32:46,"535","26,5","61","901"
11/03/2021 10:33:46,"514","26,5","61","901"
11/03/2021 10:34:46,"510","26,5","62","901"
11/03/2021 10:35:46,"518","26,5","62","901"
11/03/2021 10:36:46,"528","26,5","62","901"
11/03/2021 10:37:46,"490","26,5","62","901"
11/03/2021 10:38:46,"490","26,5","62","901"
11/03/2021 10:39:46,"505","26,5","62","901"
11/03/2021 10:40:46,"490","26,5","62","901"
11/03/2021 10:41:46,"474","26,5","62","901"
11/03/2021 10:42:46,"494","26,5","62","901"
11/03/2021 10:43:46,"490","26,5","62","901"
11/03/2021 10:44:46,"478","26,5","62","901"
11/03/2021 10:45:46,"504","26,5","62","901"
11/03/2021 10:46:46,"491","26,5","62","901"
11/03/2021 10:47:46,"472","26,5","62","901"
11/03/2021 10:48:46,"479","26,5","62","901"
11/03/2021 10:49:46,"469","26,5","62","901"
11/03/2021 10:50:46,"468","26,4","62","901"
11/03/2021 10:51:46,"478","26,4","63","901"
11/03/2021 10:52:46,"487","26,4","63","901"
11/03/2021 10:53:46,"485","26,4","63","901"
11/03/2021 10:54:46,"495","26,4","63","901"
11/03/2021 10:55:46,"496","26,4","63","901"
11/03/2021 10:56:46,"504","26,4","63","901"
11/03/2021 10:57:46,"517","26,4","63","901"
11/03/2021 10:58:46,"511","26,4","63","901"
11/03/2021 10:59:46,"514","26,5","63","901"
11/03/2021 11:00:46,"502","26,5","63","901"
11/03/2021 11:01:46,"483","26,5","63","901"
11/03/2021 11:02:46,"493","26,5","63","901"
11/03/2021 11:03:46,"496","26,5","63","901"
11/03/2021 11:04:46,"489","26,5","63","901"
11/03/2021 11:05:46,"500","26,5","63","901"
11/03/2021 11:06:46,"509","26,5","63","901"
11/03/2021 11:07:46,"490","26,5","62","901"
11/03/2021 11:08:46,"495","26,5","63","901"
11/03/2021 11:09:46,"491","26,5","62","901"
11/03/2021 11:10:46,"479","26,5","62","901"
11/03/2021 11:11:46,"494","26,5","62","901"
11/03/2021 11:12:46,"501","26,6","62","901"
11/03/2021 11:13:46,"480","26,5","62","901"
11/03/2021 11:14:46,"467","26,6","62","901"
11/03/2021 11:15:46,"468","26,6","62","901"
11/03/2021 11:16:46,"470","26,6","62","901"
11/03/2021 11:17:46,"473","26,6","62","901"
