"timestamp","sensor","pm10"
"2021-03-15T00:24:01.000Z",,"{""value"":809.86,""max"":815.25,""min"":804.93,""sd"":3.46}"
"2021-03-15T00:23:01.000Z",,"{""value"":822.65,""max"":830.17,""min"":816.4,""sd"":3.95}"
"2021-03-15T00:22:01.000Z",,"{""value"":842.62,""max"":856.56,""min"":830.17,""sd"":8.34}"
"2021-03-15T00:21:01.000Z",,"{""value"":864.07,""max"":871.47,""min"":856.56,""sd"":4.38}"
"2021-03-15T00:20:01.000Z",,"{""value"":878.24,""max"":882.95,""min"":872.62,""sd"":3.86}"
"2021-03-15T00:19:01.000Z",,"{""value"":883.29,""max"":885.24,""min"":881.8,""sd"":1.18}"
"2021-03-15T00:18:01.000Z",,"{""value"":892.76,""max"":899.01,""min"":885.24,""sd"":3.63}"
"2021-03-15T00:17:01.000Z",,"{""value"":901.42,""max"":902.45,""min"":899.01,""sd"":1.18}"
"2021-03-15T00:16:01.000Z",,"{""value"":903.66,""max"":905.9,""min"":902.45,""sd"":1.25}"
"2021-03-15T00:15:01.000Z",,"{""value"":906.59,""max"":912.78,""min"":903.6,""sd"":2.86}"
"2021-03-15T00:14:01.000Z",,"{""value"":910.49,""max"":912.78,""min"":904.75,""sd"":2.73}"
"2021-03-15T00:13:01.000Z",,"{""value"":896.89,""max"":903.6,""min"":893.28,""sd"":3.01}"
"2021-03-15T00:12:01.000Z",,"{""value"":880.14,""max"":889.83,""min"":873.77,""sd"":4.6}"
"2021-03-15T00:11:01.000Z",,"{""value"":876.92,""max"":880.65,""min"":873.77,""sd"":1.57}"
"2021-03-15T00:10:01.000Z",,"{""value"":930.05,""max"":946.06,""min"":886.39,""sd"":20.43}"
"2021-03-15T00:09:01.000Z",,"{""value"":944.62,""max"":944.91,""min"":943.76,""sd"":0.54}"
"2021-03-15T00:08:01.000Z",,"{""value"":944.79,""max"":946.06,""min"":943.76,""sd"":0.92}"
"2021-03-15T00:07:01.000Z",,"{""value"":960.4,""max"":969,""min"":946.06,""sd"":8.66}"
"2021-03-15T00:06:01.000Z",,"{""value"":970.72,""max"":973.59,""min"":969,""sd"":1.15}"
"2021-03-15T00:05:01.000Z",,"{""value"":975.31,""max"":975.89,""min"":973.59,""sd"":0.75}"
"2021-03-15T00:04:01.000Z",,"{""value"":972.79,""max"":975.89,""min"":969,""sd"":2.54}"
"2021-03-15T00:03:01.000Z",,"{""value"":968.2,""max"":969,""min"":967.86,""sd"":0.61}"
"2021-03-15T00:02:01.000Z",,"{""value"":967.91,""max"":969,""min"":967.86,""sd"":0.33}"
"2021-03-15T00:01:01.000Z",,"{""value"":968.03,""max"":969,""min"":967.86,""sd"":0.46}"
"2021-03-15T00:00:01.000Z",,"{""value"":967.91,""max"":969,""min"":966.71,""sd"":0.58}"
"2021-03-14T23:59:01.000Z",,"{""value"":966.48,""max"":967.86,""min"":964.41,""sd"":1.31}"
"2021-03-14T23:58:01.000Z",,"{""value"":958.68,""max"":964.41,""min"":954.09,""sd"":3.13}"
"2021-03-14T23:57:01.000Z",,"{""value"":949.67,""max"":954.09,""min"":946.06,""sd"":2.89}"
"2021-03-14T23:56:01.000Z",,"{""value"":946.92,""max"":947.2,""min"":946.06,""sd"":0.54}"
"2021-03-14T23:55:01.000Z",,"{""value"":946.06,""max"":947.2,""min"":944.91,""sd"":1.07}"
"2021-03-14T23:54:01.000Z",,"{""value"":951.16,""max"":952.94,""min"":947.2,""sd"":1.94}"
"2021-03-14T23:53:01.000Z",,"{""value"":952.6,""max"":952.94,""min"":951.79,""sd"":0.61}"
"2021-03-14T23:52:01.000Z",,"{""value"":957.99,""max"":963.27,""min"":952.94,""sd"":3.04}"
"2021-03-14T23:51:01.000Z",,"{""value"":966.14,""max"":971.3,""min"":963.27,""sd"":2.65}"
"2021-03-14T23:50:01.000Z",,"{""value"":975.14,""max"":978.18,""min"":971.3,""sd"":2.14}"
"2021-03-14T23:49:01.000Z",,"{""value"":981.51,""max"":985.07,""min"":978.18,""sd"":2.36}"
"2021-03-14T23:48:01.000Z",,"{""value"":987.13,""max"":988.51,""min"":986.21,""sd"":0.86}"
"2021-03-14T23:47:01.000Z",,"{""value"":988.91,""max"":989.66,""min"":988.51,""sd"":0.59}"
"2021-03-14T23:46:01.000Z",,"{""value"":989.66,""max"":989.66,""min"":989.66,""sd"":0}"
"2021-03-14T23:45:01.000Z",,"{""value"":989.54,""max"":989.66,""min"":988.51,""sd"":0.34}"
"2021-03-14T23:44:01.000Z",,"{""value"":992.81,""max"":994.25,""min"":990.8,""sd"":0.98}"
"2021-03-14T23:43:01.000Z",,"{""value"":995.22,""max"":998.84,""min"":993.1,""sd"":1.6}"
"2021-03-14T23:42:01.000Z",,"{""value"":999.52,""max"":1002.28,""min"":998.84,""sd"":1.15}"
"2021-03-14T23:41:01.000Z",,"{""value"":1006.29,""max"":1010.31,""min"":1002.28,""sd"":2.62}"
"2021-03-14T23:40:01.000Z",,"{""value"":1013.24,""max"":1014.9,""min"":1010.31,""sd"":1.39}"
"2021-03-14T23:39:01.000Z",,"{""value"":1016.91,""max"":1017.19,""min"":1016.05,""sd"":0.54}"
"2021-03-14T23:38:01.000Z",,"{""value"":1017.19,""max"":1017.19,""min"":1017.19,""sd"":0}"
"2021-03-14T23:37:01.000Z",,"{""value"":1017.37,""max"":1018.34,""min"":1017.19,""sd"":0.46}"
"2021-03-14T23:36:01.000Z",,"{""value"":1017.14,""max"":1018.34,""min"":1016.05,""sd"":1}"
"2021-03-14T23:35:01.000Z",,"{""value"":1014.78,""max"":1016.05,""min"":1012.6,""sd"":1.11}"
"2021-03-14T23:34:01.000Z",,"{""value"":1009.97,""max"":1012.6,""min"":1006.87,""sd"":2.25}"
"2021-03-14T23:33:01.000Z",,"{""value"":1003.43,""max"":1005.72,""min"":1001.13,""sd"":1.65}"
"2021-03-14T23:32:01.000Z",,"{""value"":999.18,""max"":999.98,""min"":997.69,""sd"":0.71}"
"2021-03-14T23:31:01.000Z",,"{""value"":997.86,""max"":998.84,""min"":996.54,""sd"":0.67}"
"2021-03-14T23:30:01.000Z",,"{""value"":998.09,""max"":999.98,""min"":996.54,""sd"":1.28}"
"2021-03-14T23:29:01.000Z",,"{""value"":1001.93,""max"":1004.57,""min"":999.98,""sd"":0.96}"
"2021-03-14T23:28:01.000Z",,"{""value"":1007.1,""max"":1008.02,""min"":1004.57,""sd"":1.15}"
"2021-03-14T23:27:01.000Z",,"{""value"":1006.87,""max"":1008.02,""min"":1005.72,""sd"":0.51}"
