"timestamp","sensor","pm10","temperature","humidity"
"2021-03-12T02:48:08.000Z",,"{""value"":542.29,""max"":543.74,""min"":540.68,""sd"":0.91}","{""value"":30.6,""max"":30.62,""min"":30.56,""sd"":0.06}","{""value"":50.44,""max"":50.51,""min"":50.38,""sd"":0.14}"
"2021-03-12T02:47:08.000Z",,"{""value"":540.75,""max"":543.32,""min"":537.73,""sd"":1.86}","{""value"":30.59,""max"":30.62,""min"":30.57,""sd"":0.06}","{""value"":50.47,""max"":50.56,""min"":50.39,""sd"":0.12}"
"2021-03-12T02:46:08.000Z",,"{""value"":537.24,""max"":538.77,""min"":536.44,""sd"":0.76}","{""value"":30.59,""max"":30.62,""min"":30.55,""sd"":0.1}","{""value"":50.45,""max"":50.54,""min"":50.38,""sd"":0.16}"
"2021-03-12T02:45:08.000Z",,"{""value"":537.03,""max"":538.94,""min"":536.19,""sd"":0.87}","{""value"":30.58,""max"":30.62,""min"":30.55,""sd"":0.1}","{""value"":50.42,""max"":50.54,""min"":50.33,""sd"":0.16}"
"2021-03-12T02:44:08.000Z",,"{""value"":538.02,""max"":538.91,""min"":536.94,""sd"":0.65}","{""value"":30.59,""max"":30.62,""min"":30.55,""sd"":0.1}","{""value"":50.34,""max"":50.45,""min"":50.18,""sd"":0.19}"
"2021-03-12T02:43:08.000Z",,"{""value"":537.97,""max"":539.42,""min"":537,""sd"":0.69}","{""value"":30.58,""max"":30.62,""min"":30.56,""sd"":0.09}","{""value"":50.34,""max"":50.43,""min"":50.21,""sd"":0.15}"
"2021-03-12T02:42:08.000Z",,"{""value"":541.11,""max"":541.95,""min"":539.78,""sd"":0.72}","{""value"":30.57,""max"":30.6,""min"":30.53,""sd"":0.1}","{""value"":50.35,""max"":50.46,""min"":50.27,""sd"":0.14}"
"2021-03-12T02:41:08.000Z",,"{""value"":543.74,""max"":544.56,""min"":542.72,""sd"":0.66}","{""value"":30.55,""max"":30.59,""min"":30.53,""sd"":0.09}","{""value"":50.38,""max"":50.43,""min"":50.31,""sd"":0.16}"
"2021-03-12T02:40:08.000Z",,"{""value"":544.75,""max"":545.63,""min"":543.9,""sd"":0.67}","{""value"":30.55,""max"":30.56,""min"":30.52,""sd"":0.07}","{""value"":50.36,""max"":50.45,""min"":50.27,""sd"":0.16}"
"2021-03-12T02:39:08.000Z",,"{""value"":546.62,""max"":548.21,""min"":545.6,""sd"":0.81}","{""value"":30.53,""max"":30.56,""min"":30.52,""sd"":0.09}","{""value"":50.34,""max"":50.41,""min"":50.27,""sd"":0.15}"
