Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
2/03/2021 2:52:17 p. m.,"494","31,0","50","914"
2/03/2021 2:53:17 p. m.,"485","31,0","49","914"
2/03/2021 2:54:17 p. m.,"494","30,9","48","914"
2/03/2021 2:55:17 p. m.,"458","30,8","48","914"
2/03/2021 2:56:17 p. m.,"522","30,6","48","914"
2/03/2021 2:57:17 p. m.,"495","30,6","48","914"
2/03/2021 2:58:17 p. m.,"483","30,5","49","914"
2/03/2021 2:59:17 p. m.,"479","30,5","49","914"
2/03/2021 3:00:17 p. m.,"482","30,4","49","914"
2/03/2021 3:01:17 p. m.,"503","30,4","49","914"
2/03/2021 3:02:17 p. m.,"460","30,4","49","914"
2/03/2021 3:03:17 p. m.,"469","30,3","48","914"
2/03/2021 3:04:17 p. m.,"482","30,3","48","914"
2/03/2021 3:05:17 p. m.,"456","30,3","48","914"
2/03/2021 3:06:17 p. m.,"468","30,3","49","914"
2/03/2021 3:07:17 p. m.,"465","30,3","48","914"
2/03/2021 3:08:17 p. m.,"468","30,3","48","914"
2/03/2021 3:09:17 p. m.,"453","30,2","48","914"
2/03/2021 3:10:17 p. m.,"471","30,2","49","914"
2/03/2021 3:11:17 p. m.,"466","30,2","48","914"
2/03/2021 3:12:17 p. m.,"456","30,2","49","914"
2/03/2021 3:13:17 p. m.,"483","30,2","49","914"
2/03/2021 3:14:17 p. m.,"484","30,2","49","914"
2/03/2021 3:15:17 p. m.,"484","30,2","49","914"
2/03/2021 3:16:17 p. m.,"450","30,2","48","914"
2/03/2021 3:17:17 p. m.,"464","30,2","48","914"
2/03/2021 3:18:17 p. m.,"470","30,2","48","914"
2/03/2021 3:19:17 p. m.,"463","30,2","49","914"
2/03/2021 3:20:17 p. m.,"470","30,2","49","914"
2/03/2021 3:21:17 p. m.,"463","30,2","48","914"
2/03/2021 3:22:17 p. m.,"455","30,1","47","914"
2/03/2021 3:23:17 p. m.,"458","30,1","48","914"
2/03/2021 3:24:17 p. m.,"442","30,1","48","914"
2/03/2021 3:25:17 p. m.,"499","30,1","49","914"
2/03/2021 3:26:17 p. m.,"486","30,1","49","914"
2/03/2021 3:27:17 p. m.,"472","30,1","48","914"
2/03/2021 3:28:17 p. m.,"450","30,1","48","914"
2/03/2021 3:29:17 p. m.,"429","30,1","48","914"
2/03/2021 3:30:17 p. m.,"485","30,1","48","914"
2/03/2021 3:31:17 p. m.,"467","30,1","48","913"
2/03/2021 3:32:17 p. m.,"511","30,1","48","914"
2/03/2021 3:33:17 p. m.,"491","30,1","48","913"
2/03/2021 3:34:17 p. m.,"474","30,1","48","914"
2/03/2021 3:35:17 p. m.,"468","30,1","48","913"
2/03/2021 3:36:17 p. m.,"485","30,1","49","914"
2/03/2021 3:37:17 p. m.,"464","30,1","48","913"
2/03/2021 3:38:17 p. m.,"430","30,1","48","914"
2/03/2021 3:39:17 p. m.,"457","30,1","48","913"
2/03/2021 3:40:17 p. m.,"458","30,1","48","913"
2/03/2021 3:41:17 p. m.,"468","30,1","48","914"
2/03/2021 3:42:17 p. m.,"464","30,1","49","914"
2/03/2021 3:43:17 p. m.,"455","30,1","49","914"
2/03/2021 3:44:17 p. m.,"452","30,1","49","913"
2/03/2021 3:45:17 p. m.,"470","30,1","49","914"
2/03/2021 3:46:17 p. m.,"452","30,1","49","914"
2/03/2021 3:47:17 p. m.,"456","30,1","49","913"
2/03/2021 3:48:17 p. m.,"458","30,1","49","913"
2/03/2021 3:49:17 p. m.,"442","30,1","49","914"
2/03/2021 3:50:17 p. m.,"451","30,1","49","914"
2/03/2021 3:51:17 p. m.,"478","30,1","49","914"
2/03/2021 3:52:17 p. m.,"449","30,0","48","913"
2/03/2021 3:53:17 p. m.,"452","30,1","49","913"
2/03/2021 3:54:17 p. m.,"465","30,0","49","914"
2/03/2021 3:55:17 p. m.,"457","30,1","49","913"
2/03/2021 3:56:17 p. m.,"479","30,1","49","914"
2/03/2021 3:57:17 p. m.,"454","30,1","49","914"
2/03/2021 3:58:17 p. m.,"431","30,0","49","914"
2/03/2021 3:59:17 p. m.,"436","30,0","49","913"
2/03/2021 4:00:17 p. m.,"450","30,0","48","914"
2/03/2021 4:01:17 p. m.,"451","30,1","48","914"
2/03/2021 4:02:17 p. m.,"456","30,0","48","913"
2/03/2021 4:03:17 p. m.,"452","30,0","49","913"
2/03/2021 4:04:17 p. m.,"468","30,0","49","913"
2/03/2021 4:05:17 p. m.,"436","30,0","49","914"
2/03/2021 4:06:17 p. m.,"458","30,0","49","914"
2/03/2021 4:07:17 p. m.,"434","30,0","49","914"
2/03/2021 4:08:17 p. m.,"451","30,0","49","914"
2/03/2021 4:09:17 p. m.,"447","30,0","49","914"
2/03/2021 4:10:17 p. m.,"425","30,0","49","914"
2/03/2021 4:11:17 p. m.,"404","29,9","49","914"
2/03/2021 4:12:17 p. m.,"461","29,9","49","914"
2/03/2021 4:13:17 p. m.,"444","29,9","49","914"
2/03/2021 4:14:17 p. m.,"449","29,9","49","914"
2/03/2021 4:15:17 p. m.,"470","29,9","50","914"
2/03/2021 4:16:17 p. m.,"458","29,9","50","914"
2/03/2021 4:17:17 p. m.,"445","29,9","50","914"
2/03/2021 4:18:17 p. m.,"439","29,9","49","914"
2/03/2021 4:19:17 p. m.,"432","29,8","49","914"
2/03/2021 4:20:17 p. m.,"442","29,8","50","914"
2/03/2021 4:21:17 p. m.,"458","29,8","50","914"
2/03/2021 4:22:17 p. m.,"428","29,8","50","914"
2/03/2021 4:23:17 p. m.,"450","29,8","50","914"
2/03/2021 4:24:17 p. m.,"486","29,8","50","914"
2/03/2021 4:25:17 p. m.,"502","29,8","50","914"
2/03/2021 4:26:17 p. m.,"472","29,8","50","914"
2/03/2021 4:27:17 p. m.,"472","29,8","50","914"
2/03/2021 4:28:17 p. m.,"428","29,8","49","914"
2/03/2021 4:29:17 p. m.,"464","29,8","49","914"
2/03/2021 4:30:17 p. m.,"463","29,8","50","914"
2/03/2021 4:31:17 p. m.,"482","29,8","50","914"
2/03/2021 4:32:17 p. m.,"457","29,8","49","914"
2/03/2021 4:33:17 p. m.,"442","29,9","49","914"
2/03/2021 4:34:17 p. m.,"459","29,9","49","914"
2/03/2021 4:35:17 p. m.,"436","29,9","49","914"
2/03/2021 4:36:17 p. m.,"424","29,9","49","914"
2/03/2021 4:37:17 p. m.,"457","29,9","49","914"
2/03/2021 4:38:17 p. m.,"449","29,9","49","914"
2/03/2021 4:39:17 p. m.,"457","29,9","50","914"
2/03/2021 4:40:17 p. m.,"428","29,9","50","914"
2/03/2021 4:41:17 p. m.,"468","29,8","50","914"
2/03/2021 4:42:17 p. m.,"452","29,8","50","914"
2/03/2021 4:43:17 p. m.,"438","29,8","49","914"
2/03/2021 4:44:17 p. m.,"433","29,8","49","914"
2/03/2021 4:45:17 p. m.,"423","29,8","49","914"
2/03/2021 4:46:17 p. m.,"449","29,8","49","914"
2/03/2021 4:47:17 p. m.,"458","29,8","50","914"
2/03/2021 4:48:17 p. m.,"439","29,8","49","914"
2/03/2021 4:49:17 p. m.,"445","29,8","49","914"
2/03/2021 4:50:17 p. m.,"443","29,7","49","914"
2/03/2021 4:51:17 p. m.,"472","29,7","49","914"
2/03/2021 4:52:17 p. m.,"435","29,7","49","914"
2/03/2021 4:53:17 p. m.,"472","29,7","50","914"
2/03/2021 4:54:17 p. m.,"491","29,7","49","914"
2/03/2021 4:55:17 p. m.,"466","29,7","49","914"
2/03/2021 4:56:17 p. m.,"440","29,8","49","914"
2/03/2021 4:57:17 p. m.,"463","29,7","49","914"
2/03/2021 4:58:17 p. m.,"490","29,7","50","914"
2/03/2021 4:59:17 p. m.,"452","29,7","50","914"
2/03/2021 5:00:17 p. m.,"444","29,7","50","914"
2/03/2021 5:01:17 p. m.,"458","29,7","49","914"
2/03/2021 5:02:17 p. m.,"442","29,7","50","914"
2/03/2021 5:03:17 p. m.,"451","29,7","50","914"
2/03/2021 5:04:17 p. m.,"461","29,7","50","914"
2/03/2021 5:05:17 p. m.,"456","29,7","49","914"
2/03/2021 5:06:17 p. m.,"451","29,7","49","914"
2/03/2021 5:07:17 p. m.,"444","29,7","49","914"
2/03/2021 5:08:17 p. m.,"443","29,7","50","914"
2/03/2021 5:09:17 p. m.,"457","29,7","50","914"
2/03/2021 5:10:17 p. m.,"454","29,6","49","914"
2/03/2021 5:11:17 p. m.,"434","29,6","49","914"
2/03/2021 5:12:17 p. m.,"466","29,7","49","914"
2/03/2021 5:13:17 p. m.,"439","29,6","49","914"
2/03/2021 5:14:17 p. m.,"456","29,7","49","914"
2/03/2021 5:15:17 p. m.,"447","29,6","49","914"
2/03/2021 5:16:17 p. m.,"449","29,6","49","914"
2/03/2021 5:17:17 p. m.,"457","29,6","49","914"
2/03/2021 5:18:17 p. m.,"470","29,7","49","914"
2/03/2021 5:19:17 p. m.,"480","29,7","49","914"
2/03/2021 5:20:17 p. m.,"500","29,7","50","914"
2/03/2021 5:21:17 p. m.,"451","29,7","50","914"
2/03/2021 5:22:17 p. m.,"477","29,7","50","914"
2/03/2021 5:23:17 p. m.,"469","29,7","50","914"
2/03/2021 5:24:17 p. m.,"434","29,6","50","914"
2/03/2021 5:25:17 p. m.,"456","29,7","50","914"
2/03/2021 5:26:17 p. m.,"457","29,7","50","914"
2/03/2021 5:27:17 p. m.,"454","29,6","50","914"
2/03/2021 5:28:17 p. m.,"461","29,6","50","914"
2/03/2021 5:29:17 p. m.,"449","29,7","50","914"
2/03/2021 5:30:17 p. m.,"437","29,7","50","914"
2/03/2021 5:31:17 p. m.,"443","29,6","50","914"
2/03/2021 5:32:17 p. m.,"445","29,6","50","914"
2/03/2021 5:33:17 p. m.,"454","29,6","50","914"
2/03/2021 5:34:17 p. m.,"468","29,6","50","914"
2/03/2021 5:35:17 p. m.,"447","29,6","50","914"
2/03/2021 5:36:17 p. m.,"471","29,6","50","914"
2/03/2021 5:37:17 p. m.,"434","29,6","49","914"
2/03/2021 5:38:17 p. m.,"452","29,5","50","914"
