Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
5/03/2021 5:27:14 a. m.,"476","24,7","54","898"
5/03/2021 5:28:14 a. m.,"484","24,7","54","898"
5/03/2021 5:29:14 a. m.,"475","24,7","54","898"
5/03/2021 5:30:14 a. m.,"482","24,7","54","898"
5/03/2021 5:31:14 a. m.,"470","24,7","54","898"
5/03/2021 5:32:14 a. m.,"505","24,7","54","899"
5/03/2021 5:33:14 a. m.,"482","24,7","54","898"
5/03/2021 5:34:14 a. m.,"497","24,7","54","898"
5/03/2021 5:35:14 a. m.,"471","24,7","54","899"
5/03/2021 5:36:14 a. m.,"482","24,7","54","899"
5/03/2021 5:37:14 a. m.,"480","24,7","54","899"
5/03/2021 5:38:14 a. m.,"477","24,6","54","899"
5/03/2021 5:39:14 a. m.,"486","24,6","54","899"
5/03/2021 5:40:14 a. m.,"492","24,6","54","899"
5/03/2021 5:41:14 a. m.,"479","24,6","54","899"
5/03/2021 5:42:14 a. m.,"483","24,6","54","899"
5/03/2021 5:43:14 a. m.,"479","24,6","54","899"
5/03/2021 5:44:14 a. m.,"475","24,6","54","899"
5/03/2021 5:45:14 a. m.,"487","24,6","54","899"
5/03/2021 5:46:14 a. m.,"454","24,6","54","899"
5/03/2021 5:47:14 a. m.,"480","24,6","54","899"
5/03/2021 5:48:14 a. m.,"504","24,6","54","899"
5/03/2021 5:49:14 a. m.,"477","24,6","54","899"
5/03/2021 5:50:14 a. m.,"477","24,6","54","899"
5/03/2021 5:51:14 a. m.,"477","24,6","54","899"
5/03/2021 5:52:14 a. m.,"487","24,6","54","899"
5/03/2021 5:53:14 a. m.,"485","24,6","54","899"
5/03/2021 5:54:14 a. m.,"477","24,6","54","899"
5/03/2021 5:55:14 a. m.,"488","24,6","54","899"
5/03/2021 5:56:14 a. m.,"488","24,6","54","899"
5/03/2021 5:57:14 a. m.,"482","24,6","54","899"
5/03/2021 5:58:14 a. m.,"470","24,6","54","899"
5/03/2021 5:59:14 a. m.,"498","24,6","54","899"
5/03/2021 6:00:14 a. m.,"469","24,6","54","899"
5/03/2021 6:01:14 a. m.,"492","24,6","54","899"
5/03/2021 6:02:14 a. m.,"481","24,6","54","899"
5/03/2021 6:03:14 a. m.,"474","24,6","54","899"
5/03/2021 6:04:14 a. m.,"477","24,6","54","899"
5/03/2021 6:05:14 a. m.,"482","24,6","54","899"
5/03/2021 6:06:14 a. m.,"487","24,6","54","899"
5/03/2021 6:07:14 a. m.,"483","24,6","54","899"
5/03/2021 6:08:14 a. m.,"461","24,6","54","899"
5/03/2021 6:09:14 a. m.,"479","24,6","54","899"
5/03/2021 6:10:14 a. m.,"471","24,6","54","899"
5/03/2021 6:11:14 a. m.,"473","24,6","54","899"
5/03/2021 6:12:14 a. m.,"483","24,6","54","899"
5/03/2021 6:13:14 a. m.,"477","24,6","54","899"
5/03/2021 6:14:14 a. m.,"473","24,6","54","899"
5/03/2021 6:15:14 a. m.,"487","24,6","54","899"
5/03/2021 6:16:14 a. m.,"487","24,6","54","899"
5/03/2021 6:17:14 a. m.,"488","24,6","54","899"
5/03/2021 6:18:14 a. m.,"477","24,6","54","899"
5/03/2021 6:19:14 a. m.,"485","24,7","54","899"
5/03/2021 6:20:14 a. m.,"475","24,7","54","899"
5/03/2021 6:21:14 a. m.,"482","24,7","54","899"
5/03/2021 6:22:14 a. m.,"481","24,7","54","899"
5/03/2021 6:23:14 a. m.,"481","24,6","54","899"
5/03/2021 6:24:14 a. m.,"467","24,7","54","899"
5/03/2021 6:25:14 a. m.,"479","24,7","54","899"
5/03/2021 6:26:14 a. m.,"475","24,8","54","899"
5/03/2021 6:27:14 a. m.,"493","24,7","54","899"
5/03/2021 6:28:14 a. m.,"488","24,7","54","899"
5/03/2021 6:29:14 a. m.,"478","24,7","54","899"
5/03/2021 6:30:14 a. m.,"483","24,7","54","899"
5/03/2021 6:31:14 a. m.,"491","24,7","54","899"
5/03/2021 6:32:14 a. m.,"472","24,7","54","899"
5/03/2021 6:33:14 a. m.,"479","24,7","54","899"
5/03/2021 6:34:14 a. m.,"477","24,8","54","899"
5/03/2021 6:35:14 a. m.,"483","24,7","54","899"
5/03/2021 6:36:14 a. m.,"474","24,7","54","899"
5/03/2021 6:37:14 a. m.,"480","24,7","54","899"
5/03/2021 6:38:14 a. m.,"476","24,7","54","899"
5/03/2021 6:39:14 a. m.,"483","24,7","54","899"
5/03/2021 6:40:14 a. m.,"479","24,7","54","899"
5/03/2021 6:41:14 a. m.,"489","24,8","54","899"
5/03/2021 6:42:14 a. m.,"491","24,7","54","899"
5/03/2021 6:43:14 a. m.,"485","24,7","54","899"
5/03/2021 6:44:14 a. m.,"488","24,7","54","899"
5/03/2021 6:45:14 a. m.,"492","24,7","54","899"
5/03/2021 6:46:14 a. m.,"474","24,7","54","900"
5/03/2021 6:47:14 a. m.,"488","24,7","54","899"
5/03/2021 6:48:14 a. m.,"479","24,7","55","899"
5/03/2021 6:49:14 a. m.,"473","24,7","54","900"
5/03/2021 6:50:14 a. m.,"462","24,7","54","899"
5/03/2021 6:51:14 a. m.,"488","24,7","54","899"
5/03/2021 6:52:14 a. m.,"483","24,7","54","900"
5/03/2021 6:53:14 a. m.,"484","24,7","54","900"
5/03/2021 6:54:14 a. m.,"478","24,7","54","900"
5/03/2021 6:55:14 a. m.,"480","24,7","54","900"
5/03/2021 6:56:14 a. m.,"485","24,7","54","900"
5/03/2021 6:57:14 a. m.,"490","24,8","54","900"
5/03/2021 6:58:14 a. m.,"482","24,7","55","900"
5/03/2021 6:59:14 a. m.,"495","24,7","54","900"
5/03/2021 7:00:14 a. m.,"484","24,7","55","900"
5/03/2021 7:01:14 a. m.,"492","24,7","55","900"
5/03/2021 7:02:14 a. m.,"483","24,7","54","900"
5/03/2021 7:03:14 a. m.,"495","24,8","55","900"
5/03/2021 7:04:14 a. m.,"480","24,7","55","900"
5/03/2021 7:05:14 a. m.,"476","24,8","55","900"
5/03/2021 7:06:14 a. m.,"506","24,8","55","900"
5/03/2021 7:07:14 a. m.,"497","24,7","54","900"
5/03/2021 7:08:14 a. m.,"478","24,8","55","900"
5/03/2021 7:09:14 a. m.,"495","24,8","55","900"
5/03/2021 7:10:14 a. m.,"479","24,8","54","900"
5/03/2021 7:11:14 a. m.,"501","24,8","55","900"
5/03/2021 7:12:14 a. m.,"479","24,8","55","900"
5/03/2021 7:13:14 a. m.,"492","24,8","55","900"
5/03/2021 7:14:14 a. m.,"480","24,8","55","900"
5/03/2021 7:15:14 a. m.,"482","24,8","55","900"
5/03/2021 7:16:14 a. m.,"488","24,8","55","900"
5/03/2021 7:17:14 a. m.,"485","24,8","55","900"
5/03/2021 7:18:14 a. m.,"489","24,8","55","900"
5/03/2021 7:19:14 a. m.,"489","24,8","55","900"
5/03/2021 7:20:14 a. m.,"484","24,8","55","900"
5/03/2021 7:21:14 a. m.,"473","24,8","55","900"
5/03/2021 7:22:14 a. m.,"487","24,8","55","900"
5/03/2021 7:23:14 a. m.,"483","24,8","55","900"
5/03/2021 7:24:14 a. m.,"474","24,8","55","900"
5/03/2021 7:25:14 a. m.,"473","24,8","55","900"
5/03/2021 7:26:14 a. m.,"478","24,8","55","900"
5/03/2021 7:27:14 a. m.,"477","24,8","55","900"
5/03/2021 7:28:14 a. m.,"492","24,8","55","900"
5/03/2021 7:29:14 a. m.,"485","24,8","55","900"
5/03/2021 7:30:14 a. m.,"479","24,8","55","900"
5/03/2021 7:31:14 a. m.,"479","24,8","55","900"
5/03/2021 7:32:14 a. m.,"472","24,8","55","900"
5/03/2021 7:33:14 a. m.,"487","24,8","55","900"
5/03/2021 7:34:14 a. m.,"473","24,8","55","900"
5/03/2021 7:35:14 a. m.,"475","24,7","54","900"
5/03/2021 7:36:14 a. m.,"473","24,7","54","900"
5/03/2021 7:37:14 a. m.,"485","24,7","54","900"
5/03/2021 7:38:14 a. m.,"472","24,7","55","900"
5/03/2021 7:39:14 a. m.,"473","24,6","54","900"
5/03/2021 7:40:14 a. m.,"463","24,6","54","900"
5/03/2021 7:41:14 a. m.,"463","24,6","54","900"
5/03/2021 7:42:14 a. m.,"478","24,7","54","900"
5/03/2021 7:43:14 a. m.,"470","24,6","54","900"
5/03/2021 7:44:14 a. m.,"463","24,6","54","900"
5/03/2021 7:45:14 a. m.,"474","24,6","54","900"
5/03/2021 7:46:14 a. m.,"476","24,6","54","901"
5/03/2021 7:47:14 a. m.,"464","24,6","54","901"
5/03/2021 7:48:14 a. m.,"458","24,6","54","901"
5/03/2021 7:49:14 a. m.,"479","24,6","54","898"
5/03/2021 7:50:14 a. m.,"471","24,6","54","897"
5/03/2021 7:51:14 a. m.,"486","24,6","54","897"
5/03/2021 7:52:14 a. m.,"490","24,8","54","897"
5/03/2021 7:53:14 a. m.,"505","24,8","55","897"
5/03/2021 7:54:14 a. m.,"513","24,8","55","897"
5/03/2021 7:55:14 a. m.,"519","24,8","55","897"
5/03/2021 7:56:14 a. m.,"574","25,0","62","897"
5/03/2021 7:57:14 a. m.,"3677","25,5","94","898"
5/03/2021 7:58:14 a. m.,"1752","25,8","92","899"
5/03/2021 7:59:14 a. m.,"1826","25,9","77","900"
5/03/2021 8:00:14 a. m.,"1741","25,9","70","901"
5/03/2021 8:01:14 a. m.,"1600","25,9","66","902"
5/03/2021 8:02:14 a. m.,"1497","25,9","65","902"
5/03/2021 8:03:14 a. m.,"1374","25,9","63","903"
5/03/2021 8:04:14 a. m.,"1281","25,9","63","904"
5/03/2021 8:05:14 a. m.,"1204","25,8","62","904"
5/03/2021 8:06:14 a. m.,"1160","25,9","61","904"
5/03/2021 8:07:14 a. m.,"1079","25,9","61","903"
5/03/2021 8:08:14 a. m.,"1062","25,9","61","902"
5/03/2021 8:09:14 a. m.,"1008","25,9","60","902"
5/03/2021 8:10:14 a. m.,"985","25,9","60","901"
5/03/2021 8:11:14 a. m.,"945","25,9","60","901"
5/03/2021 8:12:14 a. m.,"930","25,9","60","899"
5/03/2021 8:13:14 a. m.,"902","26,0","59","897"
5/03/2021 8:14:14 a. m.,"891","26,0","59","893"
5/03/2021 8:15:14 a. m.,"870","26,0","59","891"
5/03/2021 8:16:14 a. m.,"856","26,0","59","890"
5/03/2021 8:17:14 a. m.,"850","26,0","59","888"
5/03/2021 8:18:14 a. m.,"826","26,0","59","885"
5/03/2021 8:19:14 a. m.,"831","26,1","59","882"
5/03/2021 8:20:14 a. m.,"800","26,1","58","880"
5/03/2021 8:21:14 a. m.,"790","26,1","58","878"
5/03/2021 8:22:14 a. m.,"810","26,1","58","874"
5/03/2021 8:23:14 a. m.,"779","26,2","58","872"
5/03/2021 8:24:14 a. m.,"771","26,2","58","869"
5/03/2021 8:25:14 a. m.,"779","26,2","58","866"
5/03/2021 8:26:14 a. m.,"782","26,3","58","864"
5/03/2021 8:27:14 a. m.,"766","26,3","58","861"
5/03/2021 8:28:14 a. m.,"738","26,4","58","859"
5/03/2021 8:29:14 a. m.,"742","26,4","58","856"
5/03/2021 8:30:14 a. m.,"745","26,5","58","853"
5/03/2021 8:31:14 a. m.,"750","26,5","58","850"
5/03/2021 8:32:14 a. m.,"757","26,5","58","846"
5/03/2021 8:33:14 a. m.,"741","26,5","58","842"
5/03/2021 8:34:14 a. m.,"716","26,5","58","837"
5/03/2021 8:35:14 a. m.,"729","26,5","58","834"
5/03/2021 8:36:14 a. m.,"760","26,6","58","831"
5/03/2021 8:37:14 a. m.,"745","26,6","58","827"
5/03/2021 8:38:14 a. m.,"735","26,6","57","825"
5/03/2021 8:39:14 a. m.,"728","26,7","57","821"
5/03/2021 8:40:14 a. m.,"690","26,8","57","819"
5/03/2021 8:41:14 a. m.,"714","26,8","57","817"
5/03/2021 8:42:14 a. m.,"718","26,8","57","816"
5/03/2021 8:43:14 a. m.,"718","26,8","57","814"
5/03/2021 8:44:14 a. m.,"724","26,9","57","812"
5/03/2021 8:45:14 a. m.,"703","26,9","57","811"
5/03/2021 8:46:14 a. m.,"706","26,9","57","809"
5/03/2021 8:47:14 a. m.,"695","27,0","57","806"
5/03/2021 8:48:14 a. m.,"706","27,0","57","805"
5/03/2021 8:49:14 a. m.,"695","27,0","57","802"
5/03/2021 8:50:14 a. m.,"711","27,1","57","800"
5/03/2021 8:51:14 a. m.,"690","27,1","57","796"
5/03/2021 8:52:14 a. m.,"694","27,1","57","792"
5/03/2021 8:53:14 a. m.,"701","27,1","57","788"
5/03/2021 8:54:14 a. m.,"702","27,2","57","783"
5/03/2021 8:55:14 a. m.,"710","27,2","57","779"
5/03/2021 8:56:14 a. m.,"605","27,2","51","775"
5/03/2021 8:57:14 a. m.,"518","27,0","44","771"
5/03/2021 8:58:14 a. m.,"432","25,5","45","768"
5/03/2021 8:59:14 a. m.,"514","24,3","48","764"
5/03/2021 9:00:14 a. m.,"503","23,8","50","763"
5/03/2021 9:01:14 a. m.,"588","23,6","52","763"
5/03/2021 9:02:14 a. m.,"573","23,8","52","761"
5/03/2021 9:03:14 a. m.,"607","23,9","52","760"
5/03/2021 9:04:14 a. m.,"569","24,0","51","758"
5/03/2021 9:05:14 a. m.,"538","24,2","50","757"
5/03/2021 9:06:14 a. m.,"538","24,4","50","755"
5/03/2021 9:07:14 a. m.,"511","24,5","50","754"
5/03/2021 9:08:14 a. m.,"532","24,6","49","751"
5/03/2021 9:09:14 a. m.,"488","24,2","47","749"
5/03/2021 9:10:14 a. m.,"431","22,0","52","747"
5/03/2021 9:11:14 a. m.,"515","22,2","53","745"
5/03/2021 9:12:14 a. m.,"537","22,4","53","742"
5/03/2021 9:13:14 a. m.,"519","22,7","52","740"
5/03/2021 9:14:14 a. m.,"576","23,0","52","738"
